TimeStamp;Давление топливного газа перед дозаторами (поз. Pтг1.1);0 - Bad, 1 - Good
12:10:00.001;2917.776;1
12:10:00.024;2917.776;1
12:10:00.046;2916.046;1
12:10:00.068;2916.046;1
12:10:00.091;2915.057;1
12:10:00.114;2916.417;1
12:10:00.140;2916.541;1
12:10:00.162;2915.428;1
12:10:00.183;2915.428;1
12:10:00.206;2915.428;1
12:10:00.229;2916.046;1
12:10:00.253;2916.911;1
12:10:00.277;2914.934;1
12:10:00.298;2916.788;1
12:10:00.322;2916.788;1
12:10:00.344;2917.406;1
12:10:00.369;2915.181;1
12:10:00.391;2915.181;1
12:10:00.414;2915.552;1
12:10:00.437;2917.282;1
12:10:00.459;2917.282;1
12:10:00.487;2915.675;1
12:10:00.508;2915.675;1
12:10:00.528;2917.653;1
12:10:00.552;2915.181;1
12:10:00.575;2915.181;1
12:10:00.597;2915.181;1
12:10:00.620;2915.552;1
12:10:00.643;2917.158;1
12:10:00.669;2916.417;1
12:10:00.689;2915.552;1
12:10:00.712;2915.552;1
12:10:00.735;2915.552;1
12:10:00.758;2916.417;1
12:10:00.781;2916.417;1
12:10:00.807;2914.81;1
12:10:00.829;2916.911;1
12:10:00.852;2916.911;1
12:10:00.874;2916.911;1
12:10:00.896;2917.158;1
12:10:00.919;2914.687;1
12:10:00.942;2917.158;1
12:10:00.968;2917.035;1
12:10:00.988;2914.81;1
12:10:01.011;2914.81;1
12:10:01.034;2914.81;1
12:10:01.057;2916.17;1
12:10:01.080;2917.653;1
12:10:01.106;2915.304;1
12:10:01.127;2916.417;1
12:10:01.150;2916.417;1
12:10:01.174;2916.417;1
12:10:01.195;2917.158;1
12:10:01.218;2915.552;1
12:10:01.241;2916.293;1
12:10:01.267;2917.035;1
12:10:01.287;2917.035;1
12:10:01.310;2917.035;1
12:10:01.333;2915.428;1
12:10:01.356;2915.428;1
12:10:01.380;2917.035;1
12:10:01.402;2915.923;1
12:10:01.425;2915.923;1
12:10:01.448;2915.304;1
12:10:01.471;2917.158;1
12:10:01.494;2917.158;1
12:10:01.517;2915.923;1
12:10:01.540;2915.923;1
12:10:01.563;2914.687;1
12:10:01.587;2914.687;1
12:10:01.610;2917.282;1
12:10:01.633;2917.035;1
12:10:01.657;2914.687;1
12:10:01.680;2914.687;1
12:10:01.702;2916.293;1
12:10:01.725;2916.293;1
12:10:01.748;2917.529;1
12:10:01.772;2914.81;1
12:10:01.793;2916.541;1
12:10:01.817;2917.158;1
12:10:01.840;2917.158;1
12:10:01.863;2917.158;1
12:10:01.889;2915.304;1
12:10:01.910;2916.788;1
12:10:01.932;2917.406;1
12:10:01.956;2915.552;1
12:10:01.978;2916.046;1
12:10:02.001;2916.046;1
12:10:02.026;2916.046;1
12:10:02.047;2917.776;1
12:10:02.069;2915.552;1
12:10:02.092;2915.428;1
12:10:02.116;2918.642;1
12:10:02.140;2918.642;1
12:10:02.161;2915.552;1
12:10:02.184;2915.552;1
12:10:02.208;2914.934;1
12:10:02.231;2917.529;1
12:10:02.254;2916.541;1
12:10:02.278;2916.541;1
12:10:02.301;2914.316;1
12:10:02.325;2917.158;1
12:10:02.345;2915.923;1
12:10:02.368;2915.923;1
12:10:02.392;2914.687;1
12:10:02.415;2914.687;1
12:10:02.437;2917.529;1
12:10:02.463;2916.911;1
