TimeStamp;Частота вращения РНД приведенная;0 - Bad, 1 - Good
12:10:00.001;4119.418;1
12:10:00.024;4119.683;1
12:10:00.046;4119.905;1
12:10:00.068;4119.905;1
12:10:00.091;4119.773;1
12:10:00.114;4119.773;1
12:10:00.140;4120.978;1
12:10:00.162;4120.735;1
12:10:00.183;4120.139;1
12:10:00.206;4122.084;1
12:10:00.229;4120.049;1
12:10:00.253;4120.049;1
12:10:00.277;4121.021;1
12:10:00.298;4119.954;1
12:10:00.322;4120.151;1
12:10:00.344;4121.532;1
12:10:00.369;4122.048;1
12:10:00.391;4123.991;1
12:10:00.414;4119.971;1
12:10:00.437;4119.971;1
12:10:00.459;4121.551;1
12:10:00.487;4122.572;1
12:10:00.508;4121.577;1
12:10:00.528;4119.289;1
12:10:00.552;4121.724;1
12:10:00.575;4122.155;1
12:10:00.597;4122.545;1
12:10:00.620;4122.545;1
12:10:00.643;4121.36;1
12:10:00.669;4121.251;1
12:10:00.689;4120.995;1
12:10:00.712;4120.213;1
12:10:00.735;4120.884;1
12:10:00.758;4121.647;1
12:10:00.781;4121.647;1
12:10:00.807;4121.122;1
12:10:00.829;4121.936;1
12:10:00.852;4121.369;1
12:10:00.874;4121.136;1
12:10:00.896;4121.407;1
12:10:00.919;4121.407;1
12:10:00.942;4120.745;1
12:10:00.968;4121.665;0
12:10:00.988;4121.271;0
12:10:01.011;4122.144;1
12:10:01.034;4121.818;1
12:10:01.057;4121.798;1
12:10:01.080;4121.798;1
12:10:01.106;4122.312;0
12:10:01.127;4122.013;1
12:10:01.150;4121.878;1
12:10:01.174;4123.164;1
12:10:01.195;4123.164;1
12:10:01.218;4121.739;1
12:10:01.241;4122.739;1
12:10:01.267;4121.92;1
12:10:01.287;4121.271;1
12:10:01.310;4122.027;1
12:10:01.333;4121.632;0
12:10:01.356;4121.632;1
12:10:01.380;4123.619;1
12:10:01.402;4123.619;1
12:10:01.425;4123.342;1
12:10:01.448;4123.141;1
12:10:01.471;4123.785;1
12:10:01.494;4122.397;1
12:10:01.517;4122.494;1
12:10:01.540;4122.494;1
12:10:01.563;4122.494;1
12:10:01.587;4123.098;1
12:10:01.610;4122.021;1
12:10:01.633;4122.953;1
12:10:01.657;4122.332;1
12:10:01.680;4122.65;1
12:10:01.702;4123.216;1
12:10:01.725;4123.216;1
12:10:01.748;4122.894;1
12:10:01.772;4123.695;1
12:10:01.793;4124.371;1
12:10:01.817;4122.512;1
12:10:01.840;4122.64;1
